,density,humidity,Run,Burned,Fine,On Fire,high,low,width,height
0,0.25,0.2,0,57,2441,3,508,1993,100,100
1,0.25,0.2,1,43,2411,1,474,1981,100,100
2,0.25,0.2,2,53,2392,2,511,1936,100,100
3,0.25,0.2,3,96,2349,0,476,1969,100,100
4,0.25,0.2,4,34,2476,0,494,2016,100,100
5,0.25,0.2,5,100,2382,4,508,1978,100,100
6,0.25,0.2,6,43,2495,1,516,2023,100,100
7,0.25,0.2,7,70,2457,0,483,2044,100,100
8,0.25,0.2,8,60,2450,1,488,2023,100,100
9,0.25,0.2,9,62,2424,0,478,2008,100,100
10,0.25,0.3,10,63,2421,5,776,1713,100,100
11,0.25,0.3,11,84,2400,3,699,1788,100,100
12,0.25,0.3,12,63,2424,4,731,1760,100,100
13,0.25,0.3,13,58,2438,2,719,1779,100,100
14,0.25,0.3,14,54,2411,5,756,1714,100,100
15,0.25,0.3,15,66,2459,4,780,1749,100,100
16,0.25,0.3,16,65,2469,2,770,1766,100,100
17,0.25,0.3,17,72,2450,1,787,1736,100,100
18,0.25,0.3,18,56,2520,3,785,1794,100,100
19,0.25,0.3,19,32,2383,2,710,1707,100,100
20,0.25,0.4,20,68,2508,1,1037,1540,100,100
21,0.25,0.4,21,57,2452,5,986,1528,100,100
22,0.25,0.4,22,53,2503,5,1029,1532,100,100
23,0.25,0.4,23,88,2453,3,1061,1483,100,100
24,0.25,0.4,24,57,2455,6,1017,1501,100,100
25,0.25,0.4,25,55,2499,4,1081,1477,100,100
26,0.25,0.4,26,50,2496,6,958,1594,100,100
27,0.25,0.4,27,48,2485,8,1027,1514,100,100
28,0.25,0.4,28,60,2425,3,963,1525,100,100
29,0.25,0.4,29,75,2485,3,1053,1510,100,100
30,0.5,0.2,30,4192,723,2,969,3948,100,100
31,0.5,0.2,31,4393,666,3,1005,4057,100,100
32,0.5,0.2,32,4415,601,3,1046,3973,100,100
33,0.5,0.2,33,4452,525,5,1007,3975,100,100
34,0.5,0.2,34,4496,569,5,1013,4057,100,100
35,0.5,0.2,35,4400,609,4,989,4024,100,100
36,0.5,0.2,36,4325,703,3,1033,3998,100,100
37,0.5,0.2,37,4478,507,5,985,4005,100,100
38,0.5,0.2,38,4077,812,3,987,3905,100,100
39,0.5,0.2,39,4558,542,5,1022,4083,100,100
40,0.5,0.3,40,3802,1181,12,1470,3525,100,100
41,0.5,0.3,41,3844,1123,3,1499,3471,100,100
42,0.5,0.3,42,3391,1546,6,1497,3446,100,100
43,0.5,0.3,43,4229,787,5,1519,3502,100,100
44,0.5,0.3,44,3899,1005,6,1467,3443,100,100
45,0.5,0.3,45,3820,1128,22,1492,3478,100,100
46,0.5,0.3,46,4123,822,1,1465,3481,100,100
47,0.5,0.3,47,4192,816,3,1460,3551,100,100
48,0.5,0.3,48,3866,1070,4,1502,3438,100,100
49,0.5,0.3,49,4240,763,4,1495,3512,100,100
50,0.5,0.4,50,3804,1229,6,1960,3079,100,100
51,0.5,0.4,51,3952,1045,7,1983,3021,100,100
52,0.5,0.4,52,3411,1571,10,2065,2927,100,100
53,0.5,0.4,53,3225,1752,15,2015,2977,100,100
54,0.5,0.4,54,2825,2191,6,2004,3018,100,100
55,0.5,0.4,55,3173,1773,11,1967,2990,100,100
56,0.5,0.4,56,3395,1530,7,1987,2945,100,100
57,0.5,0.4,57,3675,1348,6,1996,3033,100,100
58,0.5,0.4,58,967,3987,8,1988,2974,100,100
59,0.5,0.4,59,3657,1326,7,2011,2979,100,100
60,0.75,0.2,60,7016,551,2,1501,6068,100,100
61,0.75,0.2,61,7049,520,4,1505,6068,100,100
62,0.75,0.2,62,6911,519,1,1473,5958,100,100
63,0.75,0.2,63,7027,524,7,1497,6061,100,100
64,0.75,0.2,64,6937,521,4,1470,5992,100,100
65,0.75,0.2,65,6978,535,6,1500,6019,100,100
66,0.75,0.2,66,6929,550,3,1520,5962,100,100
67,0.75,0.2,67,7037,542,10,1590,5999,100,100
68,0.75,0.2,68,7007,469,7,1493,5990,100,100
69,0.75,0.2,69,6912,529,2,1509,5934,100,100
70,0.75,0.3,70,6712,747,7,2208,5258,100,100
71,0.75,0.3,71,6771,773,7,2189,5362,100,100
72,0.75,0.3,72,6727,747,6,2186,5294,100,100
73,0.75,0.3,73,6636,799,9,2205,5239,100,100
74,0.75,0.3,74,6695,790,9,2274,5220,100,100
75,0.75,0.3,75,6711,804,6,2276,5245,100,100
76,0.75,0.3,76,6672,807,12,2235,5256,100,100
77,0.75,0.3,77,6736,734,7,2187,5290,100,100
78,0.75,0.3,78,6747,790,8,2300,5245,100,100
79,0.75,0.3,79,6652,799,5,2253,5203,100,100
80,0.75,0.4,80,6469,1031,7,2984,4523,100,100
81,0.75,0.4,81,6481,1015,10,2959,4547,100,100
82,0.75,0.4,82,6408,1056,6,3010,4460,100,100
83,0.75,0.4,83,6371,1041,10,2945,4477,100,100
84,0.75,0.4,84,6386,1085,12,3054,4429,100,100
85,0.75,0.4,85,6360,1117,11,3066,4422,100,100
86,0.75,0.4,86,6416,1084,5,2973,4532,100,100
87,0.75,0.4,87,6504,1001,3,3035,4473,100,100
88,0.75,0.4,88,6345,1056,9,2959,4451,100,100
89,0.75,0.4,89,6460,1072,14,3043,4503,100,100
